,area,city code,use internet at home,household id,household size,employment,education, hispanic,race,internet service provider,high-speed service,satellite,dial-up,other internet service,mobile data plan internet,dont need internet,cant afford internet,internet not available in area,no device for internet,no internet for other reason,internet comm with doctor,research health info online,electronic health monitoring,access health records online,would buy internet if lower price,use internet for online classes,state,county
168,41180,0,1,760270714201001,3,7,31,2,1,1,1,2,2,2,2,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
169,16980,0,1,571388180600857,5,1,41,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
170,16980,0,1,571388180600857,5,1,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,2,17,0
171,16980,0,1,571388180600857,5,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
172,16980,0,1,571388180600857,5,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
173,16980,0,1,810508351068877,3,1,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,2,17,0
174,16980,0,1,810508351068877,3,1,46,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
175,16980,0,1,810508351068877,3,7,35,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
176,16980,0,1,010500861667487,3,1,46,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
177,16980,0,1,010500861667487,3,5,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,2,17,0
178,16980,0,1,010500861667487,3,3,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
179,16980,0,1,400158686710670,3,1,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
180,16980,0,1,400158686710670,3,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,0
181,16980,0,1,400158686710670,3,1,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,2,17,0
182,16980,0,1,175881070518378,1,5,42,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,1,1,-1,2,17,0
183,16980,0,1,010716038845664,4,1,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,0
